Threshold,Precision,Recall,F1
0.1,0.07167235494880546,1.0,0.1337579617834395
0.15,0.08208469055374593,1.0,0.15171583383503914
0.2,0.09005763688760807,0.9920634920634921,0.16512549537648613
0.25,0.09723320158102766,0.9761904761904762,0.1768511861969806
0.3,0.10438596491228071,0.9444444444444444,0.18799368088467613
0.35,0.11252446183953033,0.9126984126984127,0.20034843205574912
0.4,0.12200435729847495,0.8888888888888888,0.21455938697318008
0.45,0.13405797101449277,0.8809523809523809,0.23270440251572327
0.5,0.14522821576763487,0.8333333333333334,0.24734982332155478
0.55,0.15689381933438987,0.7857142857142857,0.261558784676354
0.6,0.17068645640074212,0.7301587301587301,0.27669172932330827
0.65,0.18580375782881003,0.7063492063492064,0.29421487603305785
0.7,0.20631067961165048,0.6746031746031746,0.3159851301115242
